City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
91,ust-tsilma,65.441,52.1498,-9.89,91,100,4.27,RU,1675778758
92,trindade,-16.6494,-49.4889,25.86,68,97,0.76,BR,1675778759
93,mar del plata,43.4002,-4.0094,8.93,72,75,6.17,ES,1675778759
94,padang,-0.9492,100.3543,25.03,79,100,1.79,ID,1675778759
95,plougastel-daoulas,48.3667,-4.3667,8.36,57,0,8.75,FR,1675778760
96,new norfolk,6.6518,-10.5932,29.9,61,96,3.52,LR,1675778687
97,mehamn,71.0357,27.8492,3.97,70,40,9.77,NO,1675778699
98,vestmanna,62.1564,-7.1664,5.51,87,75,8.23,FO,1675778760
99,lerwick,60.1545,-1.1494,8.0,69,30,7.66,GB,1675778760
100,isangel,-19.55,169.2667,25.93,83,100,0.59,VU,1675778761
101,vanderhoof,54.0166,-124.0198,-3.64,98,100,0.36,CA,1675778761
102,castro,-24.7911,-50.0119,24.85,58,19,0.84,BR,1675778651
103,hamamatsu,34.7,137.7333,10.57,69,100,0.89,JP,1675778764
104,bargi,22.9833,79.8667,19.43,29,0,1.77,IN,1675778765
105,narsaq,60.9167,-46.05,-19.88,61,86,2.93,GL,1675778767
106,port hardy,-7.0349,29.7638,24.71,76,93,1.12,CD,1675778737
107,zhigansk,66.7697,123.3711,-46.07,100,92,0.87,RU,1675778769
108,redding,40.5865,-122.3917,8.68,68,0,1.79,US,1675778769
109,cabo san lucas,-8.2833,-35.0333,29.96,54,34,5.97,BR,1675778515
110,khatanga,71.9667,102.5,-43.24,100,71,0.62,RU,1675778771
111,nome,64.5011,-165.4064,-19.38,83,0,0.0,US,1675778772
112,ahipara,-35.1667,173.1667,18.06,75,93,1.96,NZ,1675778682
113,noumea,-22.2763,166.4572,22.99,81,84,3.6,NC,1675778774
114,botou,38.0667,116.5667,1.29,54,0,2.91,CN,1675778774
115,port blair,-7.0349,29.7638,24.71,76,93,1.12,CD,1675778729
116,kaohsiung,22.6163,120.3133,23.97,78,75,2.06,TW,1675778528
117,torbay,47.6666,-52.7314,-4.68,84,100,10.73,CA,1675778677
118,synya,65.3718,58.0387,-15.93,93,100,6.06,RU,1675778777
119,hithadhoo,-0.6,73.0833,27.81,68,100,5.4,MV,1675778778
120,ilulissat,69.2167,-51.1,-21.08,98,100,2.5,GL,1675778779
121,flin flon,48.4982,6.6557,4.97,42,0,4.91,FR,1675778779
122,atar,20.5169,-13.0499,24.8,14,8,6.9,MR,1675778781
123,provideniya,64.3833,-173.3,-25.05,91,86,1.42,RU,1675778674
124,kavieng,-2.5744,150.7967,27.03,79,99,1.75,PG,1675778784
125,vaini,-21.2,-175.2,24.09,100,75,0.51,TO,1675778785
126,khandbari,27.3747,87.2039,13.52,74,100,0.93,NP,1675778785
127,belle glade,38.2859,-91.7204,7.1,76,40,2.57,US,1675778786
128,kitui,-1.367,38.0106,29.33,31,44,6.81,KE,1675778787
129,comodoro rivadavia,-13.6631,-59.7858,24.57,82,100,1.32,BR,1675778787
130,naze,28.3667,129.4833,16.51,78,67,5.78,JP,1675778789
131,makakilo city,21.3524,-158.0865,22.64,75,0,6.69,US,1675778790
132,neijiang,29.5835,105.0622,11.35,81,100,0.9,CN,1675778791
133,sambava,-14.2667,50.1667,26.24,87,100,3.75,MG,1675778791
134,galle,6.0367,80.217,25.55,86,11,2.48,LK,1675778792
135,guapi,2.5708,-77.8854,26.13,85,54,2.2,CO,1675778792
136,tukrah,32.5341,20.5791,12.98,52,89,9.79,LY,1675778793
137,ingham,42.6,-84.3833,7.1,75,75,1.54,US,1675778793
138,clyde river,41.3042,-82.9752,8.08,64,100,9.38,US,1675778794
139,ponta do sol,38.7333,-28.2667,11.48,62,100,8.14,PT,1675778794
140,yulara,-25.2406,130.9889,29.14,18,0,3.73,AU,1675778795
141,batticaloa,7.7102,81.6924,25.69,86,84,4.37,LK,1675778795
142,sur,22.5667,59.5289,23.72,58,30,2.37,OM,1675778796
143,ibra,22.6906,58.5334,27.34,23,33,4.06,OM,1675778796
144,sorland,67.667,12.6934,5.92,61,40,13.89,NO,1675778797
145,kolokani,13.5728,-8.0339,36.35,8,100,4.21,ML,1675778797
146,san patricio,13.3034,-4.8956,37.84,7,98,3.8,ML,1675778797
147,gornopravdinsk,60.05,69.9,-22.87,100,45,1.68,RU,1675778798
148,klaksvik,62.2266,-6.589,6.51,78,74,17.44,FO,1675778633
149,avera,33.194,-82.5271,6.73,67,45,2.66,US,1675778798
150,vila velha,42.0304,-8.1588,9.49,40,0,1.83,PT,1675778798
151,tornio,65.8481,24.1466,2.01,88,100,6.24,FI,1675778799
152,usinsk,65.9939,57.5281,-16.17,94,100,10.04,RU,1675778799
